id,hour,minute,second,ms,BPM
0,0,50,36,618,0
1,0,50,36,685,0
2,0,50,36,759,0
3,0,50,36,835,0
4,0,50,37,905,0
5,0,50,37,978,0
6,0,50,37,1048,0
7,0,50,37,1121,0
8,0,50,37,1194,0
9,0,50,37,1266,0
10,0,50,37,1348,0
11,0,50,37,1427,0
12,0,50,37,1502,0
13,0,50,37,1576,0
14,0,50,37,1719,0
15,0,50,37,1808,0
16,0,50,38,1914,0
17,0,50,38,1997,0
18,0,50,38,2083,0
19,0,50,38,2162,0
20,0,50,38,2236,0
21,0,50,38,2345,0
22,0,50,38,2455,0
23,0,50,38,2549,0
24,0,50,38,2618,0
25,0,50,38,2704,0
26,0,50,38,2794,0
27,0,50,38,2867,0
28,0,50,39,2941,0
29,0,50,39,3014,0
30,0,50,39,3090,0
31,0,50,39,3169,0
32,0,50,39,3240,0
33,0,50,39,3313,0
34,0,50,39,3393,0
35,0,50,39,3473,0
36,0,50,39,3545,0
37,0,50,39,3618,0
38,0,50,39,3706,0
39,0,50,39,3773,0
40,0,50,39,3840,0
41,0,50,40,3909,0
42,0,50,40,3981,0
43,0,50,40,4046,0
44,0,50,40,4109,0
45,0,50,40,4197,0
46,0,50,40,4261,0
47,0,50,40,4326,0
48,0,50,40,4389,0
49,0,50,40,4455,0
50,0,50,40,4534,33
51,0,50,40,4608,33
52,0,50,40,4694,33
53,0,50,40,4785,33
54,0,50,41,4875,33
55,0,50,41,4952,33
56,0,50,41,5045,33
57,0,50,41,5139,33
58,0,50,41,5257,33
59,0,50,41,5329,33
60,0,50,41,5416,33
61,0,50,41,5505,33
62,0,50,41,5593,35
63,0,50,41,5678,35
64,0,50,41,5764,35
65,0,50,41,5847,35
66,0,50,42,5924,35
67,0,50,42,5992,35
68,0,50,42,6058,35
69,0,50,42,6121,35
70,0,50,42,6178,35
71,0,50,42,6231,35
72,0,50,42,6285,37
73,0,50,42,6347,37
74,0,50,42,6406,37
75,0,50,42,6461,37
76,0,50,42,6516,37
77,0,50,42,6572,37
78,0,50,42,6626,37
79,0,50,42,6680,37
80,0,50,42,6744,40
81,0,50,42,6807,40
82,0,50,42,6869,40
83,0,50,43,6941,40
84,0,50,43,7013,40
85,0,50,43,7098,40
86,0,50,43,7155,40
87,0,50,43,7246,40
88,0,50,43,7311,40
89,0,50,43,7374,40
90,0,50,43,7439,40
91,0,50,43,7506,40
92,0,50,43,7576,43
93,0,50,43,7648,43
94,0,50,43,7712,43
95,0,50,43,7805,43
96,0,50,43,7870,43
97,0,50,44,7953,43
98,0,50,44,8019,43
99,0,50,44,8086,43
100,0,50,44,8153,43
101,0,50,44,8226,43
102,0,50,44,8291,43
103,0,50,44,8358,47
104,0,50,44,8423,47
105,0,50,44,8489,47
106,0,50,44,8575,47
107,0,50,44,8634,47
108,0,50,44,8703,47
109,0,50,44,8787,47
110,0,50,44,8854,47
111,0,50,45,8921,47
112,0,50,45,8987,47
113,0,50,45,9068,47
114,0,50,45,9147,47
115,0,50,45,9214,50
116,0,50,45,9281,50
117,0,50,45,9351,50
118,0,50,45,9421,50
119,0,50,45,9488,50
120,0,50,45,9559,50
121,0,50,45,9637,50
122,0,50,45,9710,50
123,0,50,45,9786,50
124,0,50,45,9858,50
125,0,50,46,9962,50
126,0,50,46,10022,50
127,0,50,46,10117,50
128,0,50,46,10183,50
129,0,50,46,10267,54
130,0,50,46,10334,54
131,0,50,46,10400,54
132,0,50,46,10466,54
133,0,50,46,10533,54
134,0,50,46,10604,54
135,0,50,46,10672,54
136,0,50,46,10762,54
137,0,50,46,10830,54
138,0,50,47,10903,54
139,0,50,47,10971,54
140,0,50,47,11052,54
141,0,50,47,11126,54
142,0,50,47,11222,58
143,0,50,47,11287,58
144,0,50,47,11354,58
145,0,50,47,11418,58
146,0,50,47,11483,58
147,0,50,47,11548,58
148,0,50,47,11613,58
149,0,50,47,11678,58
150,0,50,47,11754,58
151,0,50,47,11824,58
152,0,50,48,11890,58
153,0,50,48,11956,58
154,0,50,48,12022,58
155,0,50,48,12089,64
156,0,50,48,12155,64
157,0,50,48,12221,64
158,0,50,48,12305,64
159,0,50,48,12370,64
160,0,50,48,12436,64
161,0,50,48,12504,64
162,0,50,48,12570,64
163,0,50,48,12637,64
164,0,50,48,12704,64
165,0,50,48,12771,64
166,0,50,48,12838,64
167,0,50,49,12908,64
168,0,50,49,12983,64
169,0,50,49,13049,70
170,0,50,49,13117,70
171,0,50,49,13185,70
172,0,50,49,13256,70
173,0,50,49,13343,70
174,0,50,49,13412,70
175,0,50,49,13489,70
176,0,50,49,13565,70
177,0,50,49,13634,70
178,0,50,49,13702,70
179,0,50,49,13770,70
180,0,50,49,13840,70
181,0,50,50,13909,70
182,0,50,50,13978,70
183,0,50,50,14047,70
184,0,50,50,14116,70
185,0,50,50,14186,70
186,0,50,50,14262,70
187,0,50,50,14320,70
188,0,50,50,14411,70
189,0,50,50,14481,70
190,0,50,50,14551,70
191,0,50,50,14621,70
192,0,50,50,14694,70
193,0,50,50,14774,70
194,0,50,50,14844,70
195,0,50,51,14914,69
196,0,50,51,14984,69
197,0,50,51,15054,69
198,0,50,51,15136,69
199,0,50,51,15197,69
